stop_id,stop_name,stop_lat,stop_lon
ST_146,"Vlak26E, *HR",,
ST_147,"Vlak26E, *CZ-UO",,
ST_148,"Vlak26E, *CZ-JN",,
ST_149,"Vlak26E, *CZ-CH",,
ST_150,"Vlak26E, *L",,
ST_151,"Vlak26E, *CZ-BO",,
ST_152,"Vlak26E, *CZ-OL",,
ST_153,"Vlak26E, *CZ-DO",,
ST_154,"Vlak26E, *SK-BR",,
ST_155,"Vlak26E, *CZ-KH",,
ST_156,"Vlak26E, *SK-PK",,
ST_157,"Vlak26E, *SK-KN",,
ST_158,"Vlak26E, *CZ-MB",,
ST_159,"Vlak26E, *CZ-TA",,
ST_160,"Vlak26E, *SK-NZ",,
ST_161,"Vlak26E, *SK-BN",,
ST_162,"Vlak26E, *SK-MI",,
ST_163,"Vlak26E, *SK-BS",,
ST_164,"Vlak26E, *SK-BB",,
ST_165,"Vlak26E, *SK-KE",,
ST_166,"Vlak26E, *SK-BJ",,
ST_167,"Vlak26E, *CZ-SU",,
ST_168,"Vlak26E, *SK-ZH",,
ST_169,"Vlak26E, *CZ-JC",,
ST_170,"Vlak26E, *CZ-FM",,
ST_171,"Vlak26E, *CZ-JI",,
ST_172,"Vlak26E, *CZ-ST",,
ST_173,"Vlak26E, *CZ-KV",,
ST_174,"Vlak26E, *CZ-MO",,
ST_175,"Vlak26E, *CZ-KO",,
ST_176,"Vlak26E, *CZ-PV",,
ST_177,"Vlak26E, *SK-SV",,
ST_178,"Vlak26E, *CZ-SM",,
ST_179,"Vlak26E, *CZ-BE",,
ST_180,"Vlak26E, *CZ-PR",,
ST_181,"Vlak26E, *SK-PU",,
ST_182,"Vlak26E, *CZ-DC",,
ST_183,"Vlak26E, *CZ-BN",,
ST_184,"Vlak26E, *CZ-JE",,
ST_185,"Vlak26E, *CZ-TU",,
ST_186,"Vlak26E, *SK-SC",,
ST_187,"Vlak26E, *CZ-NB",,
ST_188,"Vlak26E, *SK-LV",,
ST_189,"Vlak26E, *CZ-KT",,
ST_190,"Vlak26E, *CZ-RO",,
ST_191,"Vlak26E, *CZ-CL",,
ST_192,"Vlak26E, *CZ-TC",,
ST_193,"Vlak26E, *CZ-KM",,
ST_194,"Vlak26E, *SK-TV",,
ST_195,"Vlak26E, *CZ-HB",,
ST_196,"Vlak26E, *CZ-TP",,
ST_197,"Vlak26E, *CZ-NJ",,
ST_198,"Vlak26E, *CZ-LI",,
ST_199,"Vlak26E, *SK-TT",,
ST_200,"Vlak26E, *CZ-ZL",,
ST_201,"Vlak26E, *MK",,
ST_202,"Vlak26E, *CZ-HO",,
ST_203,"Vlak26E, *CZ-PS",,
ST_204,"Vlak26E, *CZ-LN",,
ST_205,"Vlak26E, *CZ-HK",,
ST_206,"Vlak26E, *SK-RS",,
ST_207,"Vlak26E, *CZ-ZN",,
ST_208,"Vlak26E, *CZ-PJ",,
ST_209,"Vlak26E, *SK-KS",,
ST_210,"Vlak26E, *CZ-PT",,
ST_211,"Vlak26E, *CZ-TR",,
ST_212,"Vlak26E, *CZ-LT",,
ST_213,"Vlak26E, *CZ-PZ",,
ST_214,"Vlak26E, *CZ-UH",,
ST_215,"Vlak26E, *CZ-OP",,
ST_216,"Vlak26E, *CZ-RK",,
ST_217,"Vlak26E, *CZ-SY",,
ST_218,"Vlak26E, *CZ-CB",,
ST_219,"Vlak26E, *SK-SE",,
ST_220,"Vlak26E, *CZ-BV",,
ST_221,"Vlak26E, *CZ-CR",,
ST_222,"Vlak26E, *SK-PE",,
ST_223,"Vlak26E, *CZ-PH",,
ST_224,"Vlak26E, *CZ-KD",,
ST_225,"Vlak26E, *CZ-PI",,
ST_226,"Vlak26E, *CZ-VY",,
ST_227,"Vlak26E, *CZ-VS",,
ST_228,"Vlak26E, *SK-BA",,
ST_229,"Vlak26E, *CZ-PB",,
ST_230,"Vlak26E, *SK-HE",,
ST_231,"Vlak26E, *SK-MY",,
ST_232,"Vlak26E, *SK-PT",,
ST_233,"Vlak26E, *CZ-BM",,
ST_234,"Vlak26E, *SK-ZA",,
ST_235,"Vlak26E, *SK-SI",,
ST_236,"Vlak26E, *CZ-UL",,
ST_237,"Vlak26E, *CZ-CV",,
ST_238,"Vlak26E, *CZ-CK",,
ST_239,"Vlak26E, *SK-KK",,
ST_240,"Vlak26E, *SK-VT",,
ST_241,"Vlak26E, *SK-PD",,
ST_242,"Vlak26E, *CZ-ZR",,
ST_243,"Vlak26E, *CZ-ME",,
ST_244,"Vlak26E, *SK-BY",,
ST_245,"Vlak26E, *SK-DK",,
ST_246,"Vlak26E, *TR",,
ST_247,"Vlak26E, *CZ-SO",,
ST_248,"Vlak26E, *SK-CA",,
ST_249,"Vlak26E, *SK-NM",,
ST_250,"Vlak26E, *SK-LC",,
ST_251,"Vlak26E, *CZ-PA",,
ST_252,"Vlak26E, *SK-SB",,
ST_253,"Vlak26E, *CZ-JH",,
ST_254,"Vlak26E, *CZ-RA",,
ST_255,"Vlak26E, *SK-PP",,
ST_256,"Vlak26E, *SK-RV",,
ST_257,"Vlak26E, *SK-PO",,
ST_258,"Vlak26E, *SK-DT",,
ST_259,"Vlak26E, *SK-TR",,
ST_260,"Vlak26E, *CZ-PE",,
ST_261,"Vlak26E, *CZ",,
ST_262,"Vlak26E, *SK-ZC",,
ST_263,"Vlak26E, *SK-DS",,
ST_264,"Vlak26E, *SK-IL",,
ST_265,"Vlak26E, *SK-SL",,
ST_266,"Vlak26E, *CZ-PM",,
ST_267,"Vlak26E, *SK-GA",,
ST_268,"Vlak26E, *SK-GL",,
ST_269,"Vlak26E, *SK-HC",,
ST_270,"Vlak26E, *SK-SN",,
ST_271,"Vlak26E, *SK-TN",,
ST_272,"Vlak26E, *SK-RK",,
ST_273,"Vlak26E, *MD",,
ST_274,"Vlak26E, *SK-TO",,
ST_275,"Vlak26E, *BIH",,
ST_276,"Vlak26E, *SK-MT",,
ST_277,"Vlak26E, *SK-LM",,
ST_278,"Vlak26E, *SK-TS",,
ST_279,"Vlak26E, *SK-ML",,
ST_280,"Vlak26E, *SK-KM",,
ST_281,"Vlak26E, *SK-MA",,
ST_282,"Vlak26E, *CZ-OV",,
ST_283,"Vlak26E, *SK-PN",,
ST_284,"Vlak26E, *SK",,
ST_285,"Vlak26E, *SK-PB",,
ST_286,"Vlak26E, *CZ-AB",,
ST_287,"Vlak26E, *SK-ZM",,
ST_288,"Vlak26E, *SK-ZV",,
ST_289,"Vlak26E, *SK-SA",,
ST_290,"Vlak26E, *SK-RA",,
ST_291,"VlakIDOL26, Antonínov",,
ST_292,"VlakIDOL26, Bakov n.Jizerou",,
ST_293,"VlakIDOL26, Bakov n.Jizerou m.",,
ST_294,"VlakIDOL26, Bělá p.Bezdězem",,
ST_295,"VlakIDOL26, Bělá p.Bezdězem město",,
ST_296,"VlakIDOL26, Bělá p.Bezdězem z.",,
ST_297,"VlakIDOL26, Bělá p.Bezdězem,nám",,
ST_298,"VlakIDOL26, Bělá u Staré Paky",,
ST_299,"VlakIDOL26, Bělá u Staré Paky z.",,
ST_300,"VlakIDOL26, Benešov n.Ploučnicí",,
ST_301,"VlakIDOL26, Bezděz",,
ST_302,"VlakIDOL26, Bílý Kostel n.Nisou",,
ST_303,"VlakIDOL26, Bílý Potok p.Smrkem",,
ST_304,"VlakIDOL26, Blíževedly",,
ST_305,"VlakIDOL26, Borek p.Troskami",,
ST_306,"VlakIDOL26, Brniště",,
ST_307,"VlakIDOL26, Březina n.Jizerou",,
ST_308,"VlakIDOL26, Březiny u Děčína",,
ST_309,"VlakIDOL26, Cidlina",,
ST_310,"VlakIDOL26, Černousy",,
ST_311,"VlakIDOL26, Česká Lípa hl.n.",,
ST_312,"VlakIDOL26, Česká Lípa střelnice",,
ST_313,"VlakIDOL26, Česká Lípa-Holý vrch",,
ST_314,"VlakIDOL26, Děčín hl.n.",,
ST_315,"VlakIDOL26, Děčín východ",,
ST_316,"VlakIDOL26, Desná",,
ST_317,"VlakIDOL26, Desná-Pustinská",,
ST_318,"VlakIDOL26, Desná-Riedlova vila",,
ST_319,"VlakIDOL26, Doksy",,
ST_320,"VlakIDOL26, Doksy,Obora",,
ST_321,"VlakIDOL26, Dolánky",,
ST_322,"VlakIDOL26, Dolní Polubný",,
ST_323,"VlakIDOL26, Doubí u Turnova",,
ST_324,"VlakIDOL26, Dubičná",,
ST_325,"VlakIDOL26, Filipovka",,
ST_326,"VlakIDOL26, Františkov n.Ploučnicí",,
ST_327,"VlakIDOL26, Frýdlant v Čechách",,
ST_328,"VlakIDOL26, Frýdlant v Čechách předm.",,
ST_329,"VlakIDOL26, Hajniště",,
ST_330,"VlakIDOL26, Harrachov",,
ST_331,"VlakIDOL26, Hejnice",,
ST_332,"VlakIDOL26, Hodkovice n.Mohelkou",,
ST_333,"VlakIDOL26, Horka u St.Paky",,
ST_334,"VlakIDOL26, Horní Branná",,
ST_335,"VlakIDOL26, Horní Police",,
ST_336,"VlakIDOL26, Horní Řasnice",,
ST_337,"VlakIDOL26, Horní Řepčice",,
ST_338,"VlakIDOL26, Horní Sytová",,
ST_339,"VlakIDOL26, Hrabačov",,
ST_340,"VlakIDOL26, Hrádek n.Nisou",,
ST_341,"VlakIDOL26, Hrubá Skála",,
ST_342,"VlakIDOL26, Chotyně",,
ST_343,"VlakIDOL26, Chrastava",,
ST_344,"VlakIDOL26, Chrastava-Anděl.Hora",,
ST_345,"VlakIDOL26, Chřibská",,
ST_346,"VlakIDOL26, Jablonec n.J.-Hradsko",,
ST_347,"VlakIDOL26, Jablonec n.Jizerou",,
ST_348,"VlakIDOL26, Jablonec n.N.centrum",,
ST_349,"VlakIDOL26, Jablonec n.N.dol.n.",,
ST_350,"VlakIDOL26, Jablonec n.N.zast.",,
ST_351,"VlakIDOL26, Jablonec n.Nisou",,
ST_352,"VlakIDOL26, Jablonecké Paseky",,
